                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.5462,                 1.0437,                0.90001,                 0.3727,                0.26056,                0.26732,                0.14356,                 1.5661,                 1.0212,                0.89328,               0.004951,               0.004951,               0.004951
                     53,                 1.5515,                 1.0455,                0.90067,                  0.385,                0.26904,                0.26845,                0.14477,                 1.5688,                 1.0254,                0.89459,               0.004852,               0.004852,               0.004852
                     54,                 1.5443,                 1.0427,                0.89819,                0.39251,                0.26425,                0.26603,                0.14319,                 1.5725,                 1.0215,                 0.8937,               0.004753,               0.004753,               0.004753
                     55,                  1.535,                  1.034,                0.89639,                0.39369,                 0.2663,                0.26996,                0.14532,                  1.564,                 1.0186,                0.89261,               0.004654,               0.004654,               0.004654
                     56,                 1.5437,                 1.0373,                 0.8985,                0.38432,                0.26713,                0.27043,                0.14664,                 1.5648,                 1.0144,                0.89229,               0.004555,               0.004555,               0.004555
                     57,                 1.5395,                 1.0355,                0.89714,                0.36961,                 0.2747,                0.26919,                0.14781,                  1.569,                 1.0173,                0.89115,               0.004456,               0.004456,               0.004456
                     58,                 1.5301,                 1.0306,                0.89558,                0.37706,                0.27353,                0.27148,                0.14843,                 1.5533,                 1.0112,                0.89076,               0.004357,               0.004357,               0.004357
                     59,                 1.5359,                 1.0294,                0.89577,                0.39528,                0.27062,                0.27383,                0.14796,                 1.5594,                 1.0084,                0.89307,               0.004258,               0.004258,               0.004258
                     60,                 1.5352,                 1.0327,                0.89631,                0.40067,                 0.2674,                0.27198,                0.14853,                 1.5572,                 1.0108,                0.89256,               0.004159,               0.004159,               0.004159
                     61,                 1.5221,                  1.023,                0.89444,                0.39041,                0.27214,                0.27345,                0.14855,                 1.5568,                  1.006,                0.89068,                0.00406,                0.00406,                0.00406
                     62,                 1.5189,                 1.0162,                0.89332,                0.39908,                0.26769,                0.27064,                0.14737,                 1.5533,                 1.0061,                0.89252,               0.003961,               0.003961,               0.003961
                     63,                 1.5103,                 1.0111,                0.89195,                0.39596,                0.27334,                0.27334,                0.14794,                 1.5518,                 1.0056,                0.89181,               0.003862,               0.003862,               0.003862
                     64,                 1.5085,                  1.012,                0.89255,                0.40517,                 0.2672,                0.27657,                0.15059,                  1.549,                 1.0028,                0.89053,               0.003763,               0.003763,               0.003763
                     65,                 1.5183,                 1.0161,                0.89422,                0.39217,                0.27631,                0.27755,                0.15192,                 1.5475,                 1.0018,                0.89047,               0.003664,               0.003664,               0.003664
                     66,                  1.514,                 1.0115,                0.89397,                0.39603,                0.27548,                0.27785,                0.15168,                 1.5416,                  1.001,                0.88848,               0.003565,               0.003565,               0.003565
                     67,                 1.5132,                  1.011,                0.89273,                0.39493,                0.27231,                0.27531,                0.14957,                 1.5479,                 1.0053,                0.88842,               0.003466,               0.003466,               0.003466
                     68,                 1.5087,                 1.0047,                0.89083,                0.39387,                0.27436,                0.27767,                0.15135,                 1.5389,                0.99875,                 0.8869,               0.003367,               0.003367,               0.003367
                     69,                 1.5097,                 1.0031,                0.89149,                0.40316,                0.27436,                0.27963,                0.15211,                 1.5415,                0.99363,                0.88835,               0.003268,               0.003268,               0.003268
                     70,                 1.4853,                0.98062,                0.88671,                  0.402,                0.27432,                0.27633,                 0.1518,                 1.5388,                0.97762,                0.87765,               0.003169,               0.003169,               0.003169
                     71,                 1.4789,                0.98124,                0.88627,                0.41028,                0.27065,                0.27636,                0.15017,                 1.5364,                0.97625,                 0.8771,                0.00307,                0.00307,                0.00307
                     72,                 1.4776,                0.97957,                0.88862,                0.41166,                0.27175,                0.27806,                0.15089,                  1.537,                0.97816,                0.87734,               0.002971,               0.002971,               0.002971
                     73,                 1.4817,                0.97962,                0.88807,                0.41272,                0.26959,                 0.2779,                0.15107,                  1.537,                0.97269,                0.87708,               0.002872,               0.002872,               0.002872
                     74,                 1.4985,                0.98978,                0.88755,                 0.4042,                0.27546,                0.27947,                0.15153,                 1.5373,                0.96847,                0.87697,               0.002773,               0.002773,               0.002773
                     75,                 1.4848,                0.97999,                0.88646,                0.39763,                0.27411,                0.27767,                0.15061,                 1.5375,                0.97177,                0.87656,               0.002674,               0.002674,               0.002674
                     76,                 1.4792,                 0.9774,                 0.8862,                 0.4019,                0.27455,                0.28111,                0.15124,                 1.5383,                0.97267,                0.87758,               0.002575,               0.002575,               0.002575
                     77,                 1.4799,                0.98062,                0.88712,                    0.4,                0.27696,                0.28057,                0.15201,                 1.5368,                0.97194,                 0.8773,               0.002476,               0.002476,               0.002476
                     78,                 1.4745,                0.97103,                0.88672,                0.39454,                0.27835,                0.27879,                0.15148,                 1.5347,                0.97085,                0.87644,               0.002377,               0.002377,               0.002377
                     79,                 1.4723,                0.96712,                0.88615,                0.40651,                0.27055,                0.28013,                0.15218,                 1.5326,                0.97031,                 0.8766,               0.002278,               0.002278,               0.002278
                     80,                  1.477,                0.96958,                0.88656,                0.39827,                0.27622,                0.28033,                 0.1517,                 1.5311,                0.97013,                 0.8768,               0.002179,               0.002179,               0.002179
                     81,                 1.4717,                0.96719,                0.88445,                0.40303,                0.27785,                0.28013,                0.15117,                 1.5283,                0.97001,                0.87607,                0.00208,                0.00208,                0.00208
                     82,                 1.4629,                0.95811,                0.88302,                 0.3981,                 0.2748,                0.28006,                0.15232,                 1.5302,                0.96837,                0.87633,               0.001981,               0.001981,               0.001981
                     83,                 1.4714,                0.96235,                0.88474,                0.40422,                0.28033,                0.28142,                0.15248,                 1.5343,                0.96987,                 0.8768,               0.001882,               0.001882,               0.001882
                     84,                 1.4675,                0.96026,                0.88345,                0.39501,                0.28048,                0.28089,                0.15276,                 1.5299,                0.97006,                0.87682,               0.001783,               0.001783,               0.001783
                     85,                 1.4592,                0.95509,                0.88254,                0.38925,                0.28272,                0.28105,                0.15333,                 1.5258,                0.96657,                0.87571,               0.001684,               0.001684,               0.001684
                     86,                 1.4647,                0.95557,                 0.8828,                0.38786,                0.28206,                0.28195,                0.15376,                 1.5253,                 0.9651,                0.87621,               0.001585,               0.001585,               0.001585
                     87,                 1.4631,                0.95685,                0.88327,                0.38516,                0.28414,                0.28361,                0.15442,                  1.525,                0.96476,                0.87588,               0.001486,               0.001486,               0.001486
                     88,                 1.4518,                0.94984,                0.88153,                0.39942,                0.27856,                0.28246,                0.15395,                 1.5288,                0.96446,                0.87573,               0.001387,               0.001387,               0.001387
                     89,                 1.4499,                0.94507,                0.88087,                0.39738,                0.28103,                0.28282,                0.15383,                 1.5239,                0.96213,                0.87539,               0.001288,               0.001288,               0.001288
                     90,                 1.4405,                0.93828,                0.87892,                0.39894,                0.27645,                0.28117,                0.15364,                 1.5262,                0.96273,                0.87553,               0.001189,               0.001189,               0.001189
                     91,                 1.4371,                 0.9345,                0.88239,                0.39823,                0.28088,                 0.2827,                0.15504,                 1.5086,                0.96294,                0.87472,                0.00109,                0.00109,                0.00109
                     92,                 1.4201,                0.91584,                0.88129,                0.39222,                0.27982,                0.28161,                0.15571,                 1.5044,                0.96075,                0.87438,               0.000991,               0.000991,               0.000991
                     93,                 1.4147,                0.91035,                0.87906,                0.38724,                0.28261,                0.28232,                0.15599,                 1.5016,                0.96084,                0.87376,               0.000892,               0.000892,               0.000892
                     94,                 1.4157,                0.90882,                0.87899,                0.39393,                0.28091,                0.28385,                0.15599,                 1.4979,                0.95881,                 0.8736,               0.000793,               0.000793,               0.000793
                     95,                  1.402,                 0.9006,                0.87736,                0.39232,                0.28377,                0.28413,                0.15655,                 1.4966,                0.95743,                0.87327,               0.000694,               0.000694,               0.000694
                     96,                 1.4025,                0.89897,                0.87741,                0.39943,                0.28009,                  0.284,                0.15612,                 1.4956,                0.95723,                0.87251,               0.000595,               0.000595,               0.000595
                     97,                  1.406,                0.90018,                0.87867,                0.39877,                0.28399,                0.28505,                0.15662,                 1.4956,                0.95646,                0.87237,               0.000496,               0.000496,               0.000496
                     98,                  1.395,                0.89254,                0.87728,                0.41464,                0.27701,                 0.2844,                0.15684,                 1.4966,                0.95691,                0.87245,               0.000397,               0.000397,               0.000397
                     99,                 1.3968,                0.89107,                0.87657,                0.40127,                0.28118,                0.28434,                0.15708,                 1.4953,                0.95643,                 0.8724,               0.000298,               0.000298,               0.000298
                    100,                 1.3975,                0.89232,                0.87553,                0.40802,                0.27941,                0.28498,                0.15766,                 1.4944,                0.95491,                0.87228,               0.000199,               0.000199,               0.000199
